username,timestamp,jam,total_daya,total_nilai,barang_terpilih
lia,2025-06-14 17:34:53,0,14,16,lampu (2)
lia,2025-06-14 17:34:53,1,54,26,"kipas agin (1), lampu (2)"
lia,2025-06-14 17:34:53,2,54,26,"kipas agin (1), lampu (2)"
lia,2025-06-14 17:34:53,3,54,26,"kipas agin (1), lampu (2)"
lia,2025-06-14 17:34:53,4,54,26,"kipas agin (1), lampu (2)"
lia,2025-06-14 17:34:53,5,54,26,"kipas agin (1), lampu (2)"
lia,2025-06-14 17:34:53,6,54,26,"kipas agin (1), lampu (2)"
lia,2025-06-14 17:34:53,7,14,16,lampu (2)
lia,2025-06-14 17:34:53,8,14,16,lampu (2)
lia,2025-06-14 17:34:53,9,14,16,lampu (2)
lia,2025-06-14 17:34:53,10,14,16,lampu (2)
lia,2025-06-14 17:34:53,11,14,16,lampu (2)
lia,2025-06-14 17:34:53,12,14,16,lampu (2)
lia,2025-06-14 17:34:53,13,14,16,lampu (2)
lia,2025-06-14 17:34:53,14,14,16,lampu (2)
lia,2025-06-14 17:34:53,15,14,16,lampu (2)
lia,2025-06-14 17:34:53,16,14,16,lampu (2)
lia,2025-06-14 17:34:53,17,14,16,lampu (2)
lia,2025-06-14 17:34:53,18,14,16,lampu (2)
lia,2025-06-14 17:34:53,19,14,16,lampu (2)
lia,2025-06-14 17:34:53,20,14,16,lampu (2)
lia,2025-06-14 17:34:53,21,14,16,lampu (2)
lia,2025-06-14 17:34:53,22,14,16,lampu (2)
lia,2025-06-14 17:34:53,23,14,16,lampu (2)
